tid,start,end,activity
1,273372625,280140264,place_cucumber_into_bowl_prep
1,280140264,288674824,place_cucumber_into_bowl_core
1,288674824,289508277,place_cucumber_into_bowl_post
1,289508277,291141845,place_tomato_into_bowl_prep
1,291141845,292508709,place_tomato_into_bowl_core
1,292808752,293575529,place_cucumber_into_bowl_core
1,293575529,295542478,place_cucumber_into_bowl_post
1,296042550,310911354,cut_lettuce_prep
1,310911354,319279223,cut_lettuce_core
1,319279223,321712906,place_lettuce_into_bowl_prep
1,321712906,327847121,place_lettuce_into_bowl_core
1,328213840,334048012,add_dressing_prep
1,334048012,339548803,add_dressing_core
1,339548803,341582429,add_dressing_post
1,344182802,349183521,mix_ingredients_prep
1,349183521,358218153,mix_ingredients_core
1,358251491,359718369,serve_salad_onto_plate_prep
1,359718369,372420194,serve_salad_onto_plate_core
1,372420194,377954323,serve_salad_onto_plate_post
2,0,25937062,cut_cheese_prep
2,25937062,41072570,cut_cheese_core
2,41072570,50407245,cut_cheese_post
2,50407245,53807734,place_cheese_into_bowl_prep
2,53807734,54841216,place_cheese_into_bowl_core
2,54841216,56608137,place_cheese_into_bowl_post
2,58441733,67309675,cut_tomato_prep
2,67309675,91613168,cut_tomato_core
2,91613168,92446621,place_tomato_into_bowl_prep
2,92446621,95813772,place_tomato_into_bowl_core
2,95813772,96847253,cut_tomato_prep
2,96847253,97080620,cut_tomato_core
2,97080620,98180778,place_tomato_into_bowl_prep
2,98180778,99147584,place_tomato_into_bowl_core
2,99580980,99947699,mix_ingredients_prep
2,99947699,100814490,mix_ingredients_core
2,100814490,101814634,mix_ingredients_post
2,101814634,102448058,place_tomato_into_bowl_core
2,102448058,103448202,place_tomato_into_bowl_post
2,104815065,112082777,cut_lettuce_prep
2,112082777,126884904,cut_lettuce_core
2,126884904,129118558,place_lettuce_into_bowl_prep
2,129118558,132018975,place_lettuce_into_bowl_core
2,132819090,136752989,cut_lettuce_prep
2,136752989,144187391,cut_lettuce_core
2,144187391,145387563,place_lettuce_into_bowl_prep
2,145387563,150621649,place_lettuce_into_bowl_core
2,150621649,153155347,place_lettuce_into_bowl_post
2,154288843,158456108,peel_cucumber_prep
2,158456108,200395470,peel_cucumber_core
2,200395470,208429958,peel_cucumber_post
2,208429958,212030475,cut_cucumber_prep
2,212030475,231133221,cut_cucumber_core
2,231133221,232233379,place_cucumber_into_bowl_prep
2,232233379,233166847,place_cucumber_into_bowl_core
2,233833609,241801421,cut_cucumber_core
2,241801421,243001593,place_cucumber_into_bowl_prep
2,243001593,245201910,place_cucumber_into_bowl_core
2,245201910,247135521,place_cucumber_into_bowl_post
2,252136240,268238554,add_vinegar_prep
2,268238554,269772108,add_vinegar_core
2,269772108,273639330,add_vinegar_post
2,273739345,278773402,add_oil_prep
2,278773402,280807027,add_oil_core
2,280807027,283440739,add_oil_post
2,284074163,285574379,add_salt_prep
2,285574379,288874853,add_salt_core
2,288874853,289941673,add_salt_post
2,289708307,291775270,add_pepper_prep
2,291775270,297609442,add_pepper_core
2,297609442,299709744,add_pepper_post
2,299809758,303776995,mix_ingredients_prep
2,303776995,325113395,mix_ingredients_core
2,325113395,325513453,mix_ingredients_post
2,327513740,330214128,serve_salad_onto_plate_prep
2,330214128,343916098,serve_salad_onto_plate_core
2,343916098,347049882,serve_salad_onto_plate_post
3,0,5367438,cut_tomato_prep
3,5367438,28670787,cut_tomato_core
3,28670787,31104470,place_tomato_into_bowl_prep
3,31104470,41005894,place_tomato_into_bowl_core
3,44773102,54041100,peel_cucumber_prep
3,54041100,77977874,peel_cucumber_core
3,77977874,81645068,peel_cucumber_post
3,83311974,88646074,cut_cucumber_prep
3,88646074,110349194,cut_cucumber_core
3,110349194,111149309,place_cucumber_into_bowl_prep
3,111149309,116116689,place_cucumber_into_bowl_core
3,120517322,138186528,cut_cheese_prep
3,138186528,153922123,cut_cheese_core
3,153922123,154488871,cut_cheese_post
3,154488871,156422482,place_cheese_into_bowl_prep
3,156422482,164890366,place_cheese_into_bowl_core
3,168324193,173124883,cut_lettuce_prep
3,173124883,181959486,cut_lettuce_core
3,181959486,183226335,cut_lettuce_post
3,183959774,188827140,cut_lettuce_prep
3,188827140,196294880,cut_lettuce_core
3,196294880,197495052,place_lettuce_into_bowl_prep
3,197495052,202495771,place_lettuce_into_bowl_core
3,202495771,205362850,place_lettuce_into_bowl_post
3,206262979,207829871,mix_ingredients_prep
3,207829871,215697669,mix_ingredients_core
3,215697669,219798258,mix_ingredients_post
3,220231654,222231941,add_vinegar_prep
3,222231941,224565610,add_vinegar_core
3,224565610,228499509,add_vinegar_post
3,227299336,231399925,add_oil_prep
3,231399925,233633580,add_oil_core
3,233633580,237467464,add_oil_post
3,236167277,239134370,add_salt_prep
3,239134370,240967967,add_salt_core
3,240967967,242834902,add_salt_post
3,242201478,245701981,add_pepper_prep
3,245701981,248769089,add_pepper_core
3,248769089,250369319,add_pepper_post
3,251036081,252869678,mix_dressing_prep
3,252869678,264137964,mix_dressing_core
3,264137964,264504684,mix_dressing_post
3,265738194,269272035,serve_salad_onto_plate_prep
3,269272035,277573229,serve_salad_onto_plate_core
3,277573229,281040394,serve_salad_onto_plate_post
4,0,24703551,peel_cucumber_prep
4,24703551,101181209,peel_cucumber_core
4,101181209,103581554,peel_cucumber_post
4,104314993,111716057,place_cucumber_into_bowl_prep
4,111716057,113016244,place_cucumber_into_bowl_core
4,113016244,115383251,place_cucumber_into_bowl_post
4,116916804,134819377,cut_lettuce_prep
4,134819377,152188541,cut_lettuce_core
4,152188541,154422195,cut_lettuce_post
4,154522209,155589029,place_lettuce_into_bowl_prep
4,155589029,160256367,place_lettuce_into_bowl_core
4,160523072,166890654,cut_cheese_prep
4,166890654,179259098,cut_cheese_core
4,179259098,180092551,cut_cheese_post
4,179925861,180125889,place_cheese_into_bowl_prep
4,180125889,183092982,place_cheese_into_bowl_core
4,184659874,192594348,cut_tomato_prep
4,192594348,214564172,cut_tomato_core
4,214564172,215130921,cut_tomato_post
4,215464302,215931036,place_tomato_into_bowl_prep
4,215931036,216597798,place_tomato_into_bowl_core
4,219864934,220465021,mix_ingredients_prep
4,220465021,233500227,mix_ingredients_core
4,233500227,235333824,mix_ingredients_post
4,242701550,251969549,add_oil_prep
4,251969549,258803864,add_oil_core
4,258803864,261304224,add_oil_post
4,261604267,267605129,add_vinegar_prep
4,267605129,273772682,add_vinegar_core
4,273772682,277639905,add_vinegar_post
4,277939948,280673674,add_pepper_prep
4,280673674,282240566,add_pepper_core
4,282240566,283207372,add_pepper_post
4,283674106,285574379,add_salt_prep
4,285574379,289641630,add_salt_core
4,289641630,290941817,add_salt_post
4,291675256,292808752,mix_dressing_prep
4,292808752,307010793,mix_dressing_core
4,307010793,310878016,mix_dressing_post
4,312111526,320479396,serve_salad_onto_plate_prep
4,320479396,328680574,serve_salad_onto_plate_core
4,328680574,330080776,serve_salad_onto_plate_post
4,335481552,342615911,add_dressing_prep
4,342615911,348050025,add_dressing_core
4,348050025,348883478,add_dressing_post
5,0,2967093,add_oil_prep
5,2967093,10268143,add_oil_core
5,10268143,15668919,add_oil_post
5,19002731,22169853,add_vinegar_prep
5,22169853,27837334,add_vinegar_core
5,27837334,31871248,add_vinegar_post
5,32471334,32938068,add_pepper_prep
5,32938068,36438571,add_pepper_core
5,36438571,37772096,add_pepper_post
5,38505534,40039088,add_salt_prep
5,40039088,43439577,add_salt_core
5,43439577,45039807,add_salt_post
5,46006613,47406814,mix_dressing_prep
5,47406814,59941949,mix_dressing_core
5,59941949,60975431,mix_dressing_post
5,64442596,79511428,peel_cucumber_prep
5,79511428,97347325,peel_cucumber_core
5,97347325,98680850,peel_cucumber_post
5,99080908,99414289,place_cucumber_into_bowl_prep
5,99414289,102814778,place_cucumber_into_bowl_core
5,102948130,105715194,cut_cucumber_prep
5,105715194,133052457,cut_cucumber_core
5,133052457,134552673,cut_cucumber_post
5,134552673,135052744,place_cucumber_into_bowl_prep
5,135052744,141953736,place_cucumber_into_bowl_core
5,141520341,153988799,cut_tomato_prep
5,153988799,182492896,cut_tomato_core
5,182492896,184693213,cut_tomato_post
5,182959630,183226335,place_tomato_into_bowl_prep
5,183226335,188927154,place_tomato_into_bowl_core
5,188927154,190127327,place_tomato_into_bowl_post
5,190427370,195028031,cut_tomato_prep
5,195028031,222031913,cut_tomato_core
5,222031913,222898704,cut_tomato_post
5,222798689,224365581,place_tomato_into_bowl_prep
5,224365581,233266861,place_tomato_into_bowl_core
5,233900285,242368169,cut_cheese_prep
5,242368169,252136239,cut_cheese_core
5,252136239,253036369,cut_cheese_post
5,252869678,253869822,place_cheese_into_bowl_prep
5,253869822,260570785,place_cheese_into_bowl_core
5,263671231,279173459,cut_lettuce_prep
5,279173459,293208809,cut_lettuce_core
5,293208809,293842234,cut_lettuce_post
5,294108939,294475658,place_lettuce_into_bowl_prep
5,294475658,300176478,place_lettuce_into_bowl_core
5,300309830,300676549,mix_ingredients_prep
5,300676549,313345037,mix_ingredients_core
5,313345037,313978461,mix_ingredients_post
5,318645799,328580560,serve_salad_onto_plate_prep
5,328580560,333647955,serve_salad_onto_plate_core
5,333647955,338115264,serve_salad_onto_plate_post
5,338748688,344582860,add_dressing_prep
5,344582860,353484139,add_dressing_core
5,353484139,354784326,add_dressing_post
6,0,12068401,add_vinegar_prep
6,12068401,16035638,add_vinegar_core
6,16035638,19269436,add_vinegar_post
6,19269436,25236961,add_oil_prep
6,25236961,29037507,add_oil_core
6,29037507,38405520,add_oil_post
6,39038944,40805865,add_pepper_prep
6,40805865,43806296,add_pepper_core
6,43806296,45306512,add_pepper_post
6,45106483,46706713,add_salt_prep
6,46706713,48606986,add_salt_core
6,48606986,49673806,add_salt_post
6,49240411,51340712,mix_dressing_prep
6,51340712,58075014,mix_dressing_core
6,58075014,63342437,mix_dressing_post
6,73310537,109782446,peel_cucumber_prep
6,109782446,120984056,peel_cucumber_core
6,120984056,122384257,peel_cucumber_post
6,122884329,124751264,cut_cucumber_prep
6,124751264,140953592,cut_cucumber_core
6,140953592,141420326,cut_cucumber_post
6,141853722,145820959,peel_cucumber_prep
6,145820959,154488871,peel_cucumber_core
6,154488871,158522784,peel_cucumber_post
6,159056194,159822971,cut_cucumber_prep
6,159822971,170391157,cut_cucumber_core
6,170391157,180692637,cut_cucumber_post
6,180759314,182159515,place_cucumber_into_bowl_prep
6,182159515,187993687,place_cucumber_into_bowl_core
6,189093845,200128764,cut_cheese_prep
6,200128764,232066688,cut_cheese_core
6,232066688,233233522,cut_cheese_post
6,233566904,235100457,place_cheese_into_bowl_prep
6,235100457,241734744,place_cheese_into_bowl_core
6,243935061,254669937,cut_tomato_prep
6,254669937,290841802,cut_tomato_core
6,290841802,291475227,cut_tomato_post
6,291841946,292475371,place_tomato_into_bowl_prep
6,292475371,300509859,place_tomato_into_bowl_core
6,301409988,310611311,cut_lettuce_prep
6,310611311,316612173,cut_lettuce_core
6,316612173,317445626,cut_lettuce_post
6,317745669,318779151,place_lettuce_into_bowl_prep
6,318779151,322979755,place_lettuce_into_bowl_core
6,322946417,325213409,cut_lettuce_prep
6,325213409,326780301,cut_lettuce_core
6,326780301,327747107,cut_lettuce_post
6,327213697,327713769,place_lettuce_into_bowl_prep
6,327713769,328313855,place_lettuce_into_bowl_core
6,328313855,331480977,place_lettuce_into_bowl_post
6,331480977,332381106,mix_ingredients_prep
6,332381106,346283104,mix_ingredients_core
6,346283104,348150039,mix_ingredients_post
6,355684456,359118282,serve_salad_onto_plate_prep
6,359118282,380054625,serve_salad_onto_plate_core
6,380054625,392256379,serve_salad_onto_plate_post
6,392823127,396323630,add_dressing_prep
6,396323630,408358693,add_dressing_core
6,408358693,411959211,add_dressing_post
7,0,12635149,peel_cucumber_prep
7,12635149,41405951,peel_cucumber_core
7,41405951,41705994,peel_cucumber_post
7,41705994,43806296,cut_cucumber_prep
7,43806296,75177472,cut_cucumber_core
7,75177472,80478234,cut_cucumber_post
7,81845097,82545197,place_cucumber_into_bowl_prep
7,82545197,90246304,place_cucumber_into_bowl_core
7,99847684,103214835,cut_tomato_prep
7,103214835,116916804,cut_tomato_core
7,116916804,117650243,cut_tomato_post
7,118150315,119883897,place_tomato_into_bowl_prep
7,119883897,127384975,place_tomato_into_bowl_core
7,127384975,128051738,place_tomato_into_bowl_post
7,128551810,135719507,cut_lettuce_prep
7,135719507,149021419,cut_lettuce_core
7,149021419,149721519,cut_lettuce_post
7,150054900,151188397,place_lettuce_into_bowl_prep
7,151188397,154888929,place_lettuce_into_bowl_core
7,155322324,158489446,place_lettuce_into_bowl_prep
7,158489446,161223172,place_lettuce_into_bowl_core
7,161789920,165957186,place_lettuce_into_bowl_prep
7,165957186,169057632,place_lettuce_into_bowl_core
7,171557991,185193284,cut_cheese_prep
7,185193284,209263410,cut_cheese_core
7,209263410,210496921,cut_cheese_post
7,210563597,214497496,place_cheese_into_bowl_prep
7,214497496,222765351,place_cheese_into_bowl_core
7,224165552,224498934,mix_ingredients_prep
7,224498934,233333537,mix_ingredients_core
7,233333537,241401363,cut_tomato_prep
7,241401363,242934917,cut_tomato_core
7,242934917,243668355,cut_tomato_post
7,243668355,244668499,place_tomato_into_bowl_prep
7,244668499,245135233,place_tomato_into_bowl_core
7,245135233,245835334,mix_ingredients_prep
7,245835334,254936642,mix_ingredients_core
7,254936642,255770095,mix_ingredients_post
7,260837490,280940379,add_oil_prep
7,280940379,283940810,add_oil_core
7,283940810,299009643,add_oil_post
7,299743082,304643786,add_vinegar_prep
7,304643786,308377656,add_vinegar_core
7,308377656,310444620,add_vinegar_post
7,311078044,311278073,mix_dressing_prep
7,311278073,318245741,mix_dressing_core
7,317278935,320312705,add_pepper_prep
7,318245741,318412432,mix_dressing_post
7,320312705,322479683,add_pepper_core
7,322479683,323379812,add_pepper_post
7,323846546,332114401,mix_dressing_core
7,332114401,332314430,mix_dressing_post
7,333314574,337448501,serve_salad_onto_plate_prep
7,337448501,360085088,serve_salad_onto_plate_core
7,360085088,365885922,serve_salad_onto_plate_post
7,367419475,368819677,add_dressing_prep
7,368819677,378754438,add_dressing_core
7,378754438,382421632,add_dressing_post
8,0,5867510,add_vinegar_prep
8,5867510,11568330,add_vinegar_core
8,11568330,15268861,add_vinegar_post
8,15802271,19569480,add_oil_prep
8,19569480,25503666,add_oil_core
8,25503666,30237680,add_oil_post
8,30871104,33504816,add_pepper_prep
8,33504816,40405808,add_pepper_core
8,40405808,41839347,add_pepper_post
8,42339419,43006181,mix_dressing_prep
8,43006181,46106627,mix_dressing_core
8,46106627,46506685,mix_dressing_post
8,46873404,48540310,add_salt_prep
8,48540310,51874123,add_salt_core
8,51874123,53007619,add_salt_post
8,53374338,53841072,mix_dressing_prep
8,53841072,58508410,mix_dressing_core
8,58508410,59108496,mix_dressing_post
8,60675388,73010494,cut_lettuce_prep
8,73010494,91613168,cut_lettuce_core
8,91613168,96513872,cut_lettuce_post
8,96513872,100281080,place_lettuce_into_bowl_prep
8,100281080,102414720,place_lettuce_into_bowl_core
8,102414720,104781727,place_lettuce_into_bowl_post
8,105348475,114183078,cut_tomato_prep
8,114183078,127618343,cut_tomato_core
8,127618343,129885335,place_tomato_into_bowl_prep
8,129885335,131285536,place_tomato_into_bowl_core
8,131285536,132319018,place_tomato_into_bowl_post
8,132852428,141253636,peel_cucumber_prep
8,141253636,160923130,peel_cucumber_core
8,160923130,162956755,peel_cucumber_post
8,164090251,171324625,cut_cucumber_prep
8,171324625,207263123,cut_cucumber_core
8,207263123,208363281,cut_cucumber_post
8,208796677,215697669,place_cucumber_into_bowl_prep
8,215697669,220898416,place_cucumber_into_bowl_core
8,220898416,226799265,place_cucumber_into_bowl_post
8,226932617,238800990,cut_cheese_prep
8,238800990,251936211,cut_cheese_core
8,251936211,252769664,cut_cheese_post
8,253269736,254869966,place_cheese_into_bowl_core
8,254869966,255536728,place_cheese_into_bowl_post
8,255536728,258203778,mix_ingredients_prep
8,258203778,270505546,mix_ingredients_core
8,270505546,274739488,mix_ingredients_post
8,275639618,276206366,add_dressing_prep
8,276206366,280373631,add_dressing_core
8,280373631,281873847,add_dressing_post
8,282340581,283374063,mix_ingredients_prep
8,283374063,290841803,mix_ingredients_core
8,290841803,292342018,mix_ingredients_post
8,294042263,298542910,serve_salad_onto_plate_prep
8,298542910,320612748,serve_salad_onto_plate_core
8,320612748,327380388,serve_salad_onto_plate_post
9,0,6367581,add_vinegar_prep
9,6367581,10968243,add_vinegar_core
9,10968243,15868947,add_vinegar_post
9,16502371,20102889,add_oil_prep
9,20102889,29070845,add_oil_core
9,29070845,36838628,add_oil_post
9,36071851,40139102,add_pepper_prep
9,40139102,45406526,add_pepper_core
9,45406526,46673375,add_pepper_post
9,47040094,49240410,add_salt_prep
9,49240410,55274611,add_salt_core
9,55274611,56808165,add_salt_post
9,57408251,57974999,mix_dressing_prep
9,57974999,67042969,mix_dressing_core
9,67042969,68809890,mix_dressing_post
9,70043400,90012937,cut_tomato_prep
9,90012937,102514734,cut_tomato_core
9,102514734,103414863,cut_tomato_post
9,103981611,105981899,place_tomato_into_bowl_prep
9,105981899,107882172,place_tomato_into_bowl_core
9,107882172,109349050,place_tomato_into_bowl_post
9,109715769,138019837,cut_tomato_prep
9,138019837,148621361,cut_tomato_core
9,149454814,151088382,place_tomato_into_bowl_prep
9,151088382,153255360,place_tomato_into_bowl_core
9,153255360,157289273,place_tomato_into_bowl_post
9,157589316,165957186,cut_lettuce_prep
9,165957186,177458839,cut_lettuce_core
9,177458839,179025731,cut_lettuce_post
9,179492465,181192709,place_lettuce_into_bowl_prep
9,181192709,187793658,place_tomato_into_bowl_core
9,187793658,189693931,place_tomato_into_bowl_post
9,190694075,200695512,cut_cheese_prep
9,200695512,215130920,cut_cheese_core
9,215130920,216031050,cut_cheese_post
9,216764488,221131783,place_cheese_into_bowl_core
9,221765207,226365868,mix_ingredients_prep
9,226365868,227832746,mix_ingredients_core
9,227832746,234333680,mix_ingredients_post
9,236000586,244668499,peel_cucumber_prep
9,244668499,281040393,peel_cucumber_core
9,281040393,282840652,peel_cucumber_post
9,282840652,283974148,cut_cucumber_prep
9,283974148,307344174,cut_cucumber_core
9,307344174,308110951,cut_cucumber_post
9,308110951,310878015,place_cucumber_into_bowl_prep
9,310878015,312511583,place_cucumber_into_bowl_core
9,312511583,314445195,place_cucumber_into_bowl_post
9,314745238,315812058,mix_ingredients_prep
9,315812058,327647092,mix_ingredients_core
9,327647092,329414013,mix_ingredients_post
9,330114113,331647667,add_dressing_prep
9,331647667,335348199,add_dressing_core
9,335348199,336615048,add_dressing_post
9,337081781,337915235,mix_ingredients_prep
9,337915235,345883046,mix_ingredients_core
9,345883046,347483276,mix_ingredients_post
9,348383406,352383981,serve_salad_onto_plate_prep
9,352383981,360551821,serve_salad_onto_plate_core
9,360551821,365919260,serve_salad_onto_plate_post
10,0,7401063,cut_tomato_prep
10,7401063,22169853,cut_tomato_core
10,22169853,22669925,cut_tomato_post
10,23036644,25003593,place_tomato_into_bowl_prep
10,25003593,29237535,place_tomato_into_bowl_core
10,31304499,35138383,peel_cucumber_prep
10,35138383,51474065,peel_cucumber_core
10,51474065,58408395,peel_cucumber_post
10,59141833,60942092,cut_cucumber_prep
10,60942092,72977155,cut_cucumber_core
10,72977155,74177328,cut_cucumber_post
10,74510709,81611730,place_cucumber_into_bowl_prep
10,83378650,95947123,cut_lettuce_prep
10,95947123,105381813,cut_lettuce_core
10,105381813,106181928,cut_lettuce_post
10,106748676,107882172,place_lettuce_into_bowl_prep
10,107882172,112349481,place_lettuce_into_bowl_core
10,113949711,124584573,cut_cheese_prep
10,124584573,130018687,cut_cheese_core
10,130018687,131218860,cut_cheese_post
10,131452226,131885622,place_cheese_into_bowl_prep
10,131885622,135352787,place_cheese_into_bowl_core
10,139553391,141120283,mix_ingredients_prep
10,141120283,149088095,mix_ingredients_core
10,149088095,150554972,mix_ingredients_post
10,151321749,168990955,add_oil_prep
10,168990955,173591616,add_oil_core
10,173591616,181359400,add_oil_post
10,181959486,184459845,add_salt_prep
10,184459845,189193859,add_salt_core
10,189193859,190660736,add_salt_post
10,191194146,192694362,add_pepper_prep
10,192694362,199428663,add_pepper_core
10,199428663,200162102,add_pepper_post
10,200928879,203995986,mix_dressing_prep
10,203995986,216564460,mix_dressing_core
10,216564460,219264848,mix_dressing_post
10,219864934,222965380,add_vinegar_prep
10,222965380,225132358,add_vinegar_core
10,225132358,228866228,add_vinegar_post
10,229332961,231099882,mix_dressing_prep
10,231099882,243968398,mix_dressing_core
10,243968398,248202340,mix_dressing_post
10,251336124,263637892,serve_salad_onto_plate_prep
10,263637892,276406394,serve_salad_onto_plate_core
10,276406394,280306955,serve_salad_onto_plate_post
11,0,9701395,cut_tomato_prep
11,9701395,25236961,cut_tomato_core
11,25236961,25837047,cut_tomato_post
11,25970400,28404083,place_tomato_into_bowl_prep
11,28404083,33271449,place_tomato_into_bowl_core
11,33271449,34338269,place_tomato_into_bowl_post
11,34404945,45973275,cut_cheese_prep
11,45973275,49740483,cut_cheese_core
11,49740483,50973993,cut_cheese_post
11,51240698,52207504,place_cheese_into_bowl_prep
11,52207504,56774827,place_cheese_into_bowl_core
11,56774827,59075158,place_cheese_into_bowl_post
11,59108496,68176466,cut_lettuce_prep
11,68176466,75844235,cut_lettuce_core
11,75844235,78611299,cut_lettuce_post
11,79044695,79711457,place_lettuce_into_bowl_prep
11,79711457,80811615,place_lettuce_into_bowl_core
11,80811615,87945974,place_lettuce_into_bowl_post
11,87945974,92479959,peel_cucumber_prep
11,92479959,107915511,peel_cucumber_core
11,107915511,114049726,peel_cucumber_post
11,114483121,116083351,cut_cucumber_prep
11,116083351,124884616,cut_cucumber_core
11,124884616,126418170,cut_cucumber_post
11,126651537,128385120,place_cucumber_into_bowl_prep
11,128385120,130618774,place_cucumber_into_bowl_core
11,130618774,134786040,place_cucumber_into_bowl_post
11,135452802,136652975,mix_ingredients_prep
11,136652975,145320887,mix_ingredients_core
11,145320887,151088383,mix_ingredients_post
11,154555548,157489303,add_oil_prep
11,157489303,160723101,add_oil_core
11,160723101,169791071,add_oil_post
11,170091114,176125315,add_vinegar_prep
11,176125315,181826134,add_vinegar_core
11,181826134,190327356,add_vinegar_post
11,190894104,192460996,add_salt_prep
11,192460996,197195010,add_salt_core
11,197195010,199395326,add_salt_post
11,199828721,200195441,add_pepper_prep
11,200195441,204596073,add_pepper_core
11,204596073,205329512,add_pepper_post
11,205662893,206929742,mix_dressing_prep
11,206929742,213364000,mix_dressing_core
11,213364000,215430964,mix_dressing_post
11,216497784,222431970,serve_salad_onto_plate_prep
11,222431970,228732876,serve_salad_onto_plate_core
11,228732876,230533135,serve_salad_onto_plate_post
11,233233523,235200472,add_dressing_prep
11,235200472,247102183,add_dressing_core
11,247102183,248769089,add_dressing_post
12,0,33971549,cut_cheese_prep
12,33971549,51907460,cut_cheese_core
12,51907460,61242135,cut_cheese_post
12,63475790,73677256,peel_cucumber_prep
12,73677256,121817509,peel_cucumber_core
12,121817509,135286111,peel_cucumber_post
12,137186384,140486859,cut_cucumber_prep
12,140486859,164356956,cut_cucumber_core
12,164356956,168957617,cut_cucumber_post
12,173524940,174591760,place_cheese_into_bowl_prep
12,174591760,178158940,place_cheese_into_bowl_core
12,178158940,178759026,place_cucumber_into_bowl_prep
12,178759026,184693212,place_cucumber_into_bowl_core
12,184693212,192594348,place_cucumber_into_bowl_post
12,201595642,239034356,cut_tomato_prep
12,239034356,279340149,cut_tomato_core
12,279340149,282273904,place_tomato_into_bowl_prep
12,282273904,290508421,place_tomato_into_bowl_core
12,290508421,293075457,place_tomato_into_bowl_post
12,293075457,313311699,cut_lettuce_prep
12,313311699,340215565,cut_lettuce_core
12,340215565,343149320,cut_lettuce_post
12,343149320,345116270,place_lettuce_into_bowl_prep
12,345116270,351483852,place_lettuce_into_bowl_core
12,351483852,353950873,place_lettuce_into_bowl_post
12,353950873,354717650,mix_ingredients_prep
12,354717650,368052900,mix_ingredients_core
12,368052900,375653992,mix_ingredients_post
12,397057069,407858621,add_vinegar_prep
12,407858621,411159095,add_vinegar_core
12,411159095,417460001,add_vinegar_post
12,418493483,428928316,add_oil_prep
12,428928316,434195740,add_oil_core
12,434195740,443063681,add_oil_post
12,456165564,459132657,add_pepper_prep
12,459132657,463233247,add_pepper_core
12,463233247,464733462,add_pepper_post
12,465366887,467433850,add_salt_prep
12,467433850,470334267,add_salt_core
12,470334267,471467764,add_salt_post
12,471934497,472267879,mix_dressing_prep
12,472267879,488503545,mix_dressing_core
12,488536884,491070581,add_dressing_prep
12,491070581,508706449,add_dressing_core
12,508706449,510540046,add_dressing_post
12,511573528,520808189,serve_salad_onto_plate_prep
12,520808189,540744387,serve_salad_onto_plate_core
12,540744387,547978760,serve_salad_onto_plate_post
13,0,23736745,cut_lettuce_prep
13,23736745,64175890,cut_lettuce_core
13,64175890,67109645,cut_lettuce_post
13,67109645,70143415,place_lettuce_into_bowl_prep
13,70143415,72510421,place_lettuce_into_bowl_core
13,72510421,75010781,place_lettuce_into_bowl_post
13,76911054,100047713,cut_cheese_prep
13,100047713,136986355,cut_cheese_core
13,136986355,138586585,cut_cheese_post
13,138419895,147254498,place_cheese_into_bowl_prep
